concurrency,pool,throughput
10561,1,416666
10591,1,412541
10621,1,384319
10651,1,424808
10681,1,419463
10711,1,418760
10741,1,414593
10771,1,418060
10801,1,408163
10831,1,418410
10861,1,419815
10891,1,414250
10921,1,413907
10951,1,416666
10981,1,415627
11011,1,420521
11041,1,417710
11071,1,417014
11101,1,416666
11131,1,411861
11161,1,410846
11191,1,414593
11221,1,411522
11251,1,413564
11281,1,408496
11311,1,418410
11341,1,415282
11371,1,414593
11401,1,411522
11431,1,405515
11461,1,407830
11491,1,411184
11521,1,394632
11551,1,370919
11581,1,409836
11611,1,407830
11641,1,410172
11671,1,414593
11701,1,410846
11731,1,412541
11761,1,415627
11791,1,411861
11821,1,406173
11851,1,408496
11881,1,407166
11911,1,407497
11941,1,407166
11971,1,402252
12001,1,410509
12031,1,407830
12061,1,408830
12091,1,408163
12121,1,407166
12151,1,409165
12181,1,411184
12211,1,411522
12241,1,403225
12271,1,409836
12301,1,406173
12331,1,409500
12361,1,406504
12391,1,406504
12421,1,410509
12451,1,411522
12481,1,411522
12511,1,413564
12541,1,412201
12571,1,411861
12601,1,405844
12631,1,410172
12661,1,409165
12691,1,408830
12721,1,402576
12751,1,408830
12781,1,409500
12811,1,411184
12841,1,413907
12871,1,409500
12901,1,409836
12931,1,410846
12961,1,403551
12991,1,406173
13021,1,400962
13051,1,407497
13081,1,410509
13111,1,406504
13141,1,409165
13171,1,408830
13201,1,405186
13231,1,405186
13261,1,411522
13291,1,409500
13321,1,414250
13351,1,409836
13381,1,402252
13411,1,407830
13441,1,401929
13471,1,406173
13501,1,406834
13531,1,406834
13561,1,407830
13591,1,414250
13621,1,407830
13651,1,399042
13681,1,402900
13711,1,411184
13741,1,407166
13771,1,401284
13801,1,349895
13831,1,407166
13861,1,402900
13891,1,404203
13921,1,372300
13951,1,403877
13981,1,401606
14011,1,402252
14041,1,399042
14071,1,402576
14101,1,404530
14131,1,405186
14161,1,405186
14191,1,403551
14221,1,405186
14251,1,404530
14281,1,407497
14311,1,407497
14341,1,407497
14371,1,405844
14401,1,407830
14431,1,407497
14461,1,401284
14491,1,403551
14521,1,403551
14551,1,405515
14581,1,404858
14611,1,405844
14641,1,408496
14671,1,401929
14701,1,407830
14731,1,401929
14761,1,403551
14791,1,399042
14821,1,408496
14851,1,400962
14881,1,405515
14911,1,399042
14941,1,404530
14971,1,405186
31,3,395256
61,3,565610
91,3,621890
121,3,673854
151,3,674763
181,3,718390
211,3,742942
241,3,734214
271,3,750750
301,3,755287
331,3,771604
361,3,770416
391,3,784929
421,3,782472
451,3,797448
481,3,783699
511,3,796178
541,3,794912
571,3,803858
601,3,797448
631,3,802568
661,3,798722
691,3,809061
721,3,819672
751,3,810372
781,3,843170
811,3,848896
841,3,821018
871,3,800000
901,3,836120
931,3,850340
961,3,830564
991,3,846023
1021,3,833333
1051,3,841750
1081,3,847457
1111,3,856164
1141,3,838926
1171,3,844594
1201,3,829187
1231,3,854700
1261,3,869565
1291,3,810372
1321,3,853242
1351,3,859106
1381,3,854700
1411,3,851788
1441,3,863557
1471,3,859106
1501,3,874125
1531,3,848896
1561,3,859106
1591,3,857632
1621,3,847457
1651,3,868055
1681,3,851788
1711,3,841750
1741,3,847457
1771,3,860585
1801,3,874125
1831,3,865051
1861,3,856164
1891,3,866551
1921,3,863557
1951,3,848896
1981,3,894454
2011,3,894454
2041,3,869565
2071,3,909090
2101,3,934579
2131,3,950570
2161,3,954198
2191,3,888099
2221,3,934579
2251,3,988142
2281,3,1002004
2311,3,990099
2341,3,1018329
2371,3,1018329
2401,3,1026694
2431,3,1048218
2461,3,1048218
2491,3,1006036
2521,3,634517
2551,3,998003
2581,3,678426
2611,3,1008064
2641,3,1041666
2671,3,1063829
2701,3,1039501
2731,3,1010101
2761,3,1089324
2791,3,1070663
2821,3,1091703
2851,3,1070663
2881,3,1016260
2911,3,1068376
2941,3,1037344
2971,3,1082251
3001,3,1096491
3031,3,1103752
3061,3,1075268
3091,3,1082251
3121,3,1070663
3151,3,1091703
3181,3,1106194
3211,3,1094091
3241,3,1054852
3271,3,1091703
3301,3,1061571
3331,3,1086956
3361,3,1091703
3391,3,1077586
3421,3,1082251
3451,3,1089324
3481,3,1077586
3511,3,1054852
3541,3,1057082
3571,3,1066098
3601,3,1082251
3631,3,1077586
3661,3,1096491
3691,3,1079913
3721,3,1089324
3751,3,1086956
3781,3,1050420
3811,3,1098901
3841,3,1057082
3871,3,1050420
3901,3,1033057
3931,3,1101321
3961,3,1075268
3991,3,1086956
4021,3,1103752
4051,3,1063829
4081,3,1089324
4111,3,1079913
4141,3,1096491
4171,3,1101321
4201,3,1075268
4231,3,1101321
4261,3,1057082
4291,3,1086956
4321,3,1048218
4351,3,1089324
4381,3,1106194
4411,3,1070663
4441,3,1079913
4471,3,1079913
4501,3,1094091
4531,3,1077586
4561,3,1075268
4591,3,1024590
4621,3,1091703
4651,3,1061571
4681,3,1091703
4711,3,1101321
4741,3,1111111
4771,3,1063829
4801,3,1066098
4831,3,1094091
4861,3,1072961
4891,3,1054852
4921,3,970873
4951,3,1094091
4981,3,1075268
5011,3,1037344
5041,3,1096491
5071,3,1082251
5101,3,1084598
5131,3,1050420
5161,3,1070663
5191,3,1061571
5221,3,1068376
5251,3,1050420
5281,3,1082251
5311,3,1050420
5341,3,967117
5371,3,1070663
5401,3,1068376
5431,3,978473
5461,3,1041666
5491,3,1022494
5521,3,1030927
5551,3,1057082
5581,3,1004016
5611,3,1057082
5641,3,1075268
5671,3,1041666
5701,3,1035196
5731,3,1072961
5761,3,1035196
5791,3,1063829
5821,3,1043841
5851,3,1086956
5881,3,1039501
5911,3,1050420
5941,3,1014198
5971,3,1037344
6001,3,1048218
6031,3,1082251
6061,3,1026694
6091,3,972762
6121,3,1033057
6151,3,1018329
6181,3,1050420
6211,3,1043841
6241,3,1039501
6271,3,1024590
6301,3,992063
6331,3,1054852
6361,3,1012145
6391,3,1039501
6421,3,1046025
6451,3,1030927
6481,3,1043841
6511,3,1054852
6541,3,1010101
6571,3,1046025
6601,3,1068376
6631,3,1020408
6661,3,1024590
6691,3,733137
6721,3,1072961
6751,3,1070663
6781,3,1028806
6811,3,1043841
6841,3,1046025
6871,3,1077586
6901,3,1048218
6931,3,1022494
6961,3,1002004
6991,3,1004016
7021,3,1008064
7051,3,1033057
7081,3,1052631
7111,3,1041666
7141,3,1018329
7171,3,957854
7201,3,1022494
7231,3,1026694
7261,3,1026694
7291,3,1020408
7321,3,992063
7351,3,1014198
7381,3,961538
7411,3,1000000
7441,3,1037344
7471,3,1037344
7501,3,1026694
7531,3,1020408
7561,3,1020408
7591,3,1018329
7621,3,1002004
7651,3,959692
7681,3,1024590
7711,3,1039501
7741,3,1014198
7771,3,1030927
7801,3,1030927
7831,3,1014198
7861,3,1002004
7891,3,1050420
7921,3,1030927
7951,3,1033057
7981,3,941619
8011,3,1008064
8041,3,599520
8071,3,1016260
8101,3,998003
8131,3,1008064
8161,3,1008064
8191,3,1026694
8221,3,1030927
8251,3,1002004
8281,3,1020408
8311,3,1014198
8341,3,978473
8371,3,584795
8401,3,1006036
8431,3,1016260
8461,3,1024590
8491,3,1012145
8521,3,1016260
8551,3,1002004
8581,3,1018329
8611,3,1012145
8641,3,990099
8671,3,836120
8701,3,1004016
8731,3,1020408
8761,3,1010101
8791,3,994035
8821,3,984251
8851,3,1006036
8881,3,967117
8911,3,982318
8941,3,1000000
8971,3,998003
9001,3,618046
9031,3,988142
9061,3,996015
9091,3,988142
9121,3,1046025
9151,3,984251
9181,3,1018329
9211,3,986193
9241,3,992063
9271,3,986193
9301,3,1006036
9331,3,976562
9361,3,917431
9391,3,978473
9421,3,1030927
9451,3,1000000
9481,3,992063
9511,3,990099
9541,3,1012145
9571,3,1002004
9601,3,1004016
9631,3,990099
9661,3,1002004
9691,3,891265
9721,3,929368
9751,3,1014198
9781,3,963391
9811,3,1014198
9841,3,1006036
9871,3,976562
9901,3,967117
9931,3,986193
9961,3,982318
9991,3,954198
10021,3,998003
10051,3,974658
10081,3,967117
10111,3,994035
10141,3,965250
10171,3,961538
10201,3,984251
10231,3,961538
10261,3,941619
10291,3,968992
10321,3,972762
10351,3,974658
10381,3,967117
10411,3,986193
10441,3,980392
10471,3,959692
10501,3,954198
10531,3,976562
10561,3,980392
10591,3,970873
10621,3,963391
10651,3,986193
10681,3,976562
10711,3,897666
10741,3,998003
10771,3,961538
10801,3,934579
10831,3,952380
10861,3,970873
10891,3,1002004
10921,3,996015
10951,3,978473
10981,3,990099
11011,3,976562
11041,3,950570
11071,3,925925
11101,3,965250
11131,3,986193
11161,3,941619
11191,3,925925
11221,3,967117
11251,3,961538
11281,3,943396
11311,3,976562
11341,3,990099
11371,3,972762
11401,3,978473
11431,3,939849
11461,3,970873
11491,3,980392
11521,3,986193
11551,3,965250
11581,3,965250
11611,3,956022
11641,3,970873
11671,3,990099
11701,3,968992
11731,3,963391
11761,3,963391
11791,3,970873
11821,3,963391
11851,3,976562
11881,3,982318
11911,3,956022
11941,3,982318
11971,3,965250
12001,3,948766
12031,3,963391
12061,3,961538
12091,3,954198
12121,3,961538
12151,3,978473
12181,3,961538
12211,3,950570
12241,3,957854
12271,3,956022
12301,3,965250
12331,3,945179
12361,3,976562
12391,3,945179
12421,3,954198
12451,3,972762
12481,3,956022
12511,3,946969
12541,3,965250
12571,3,952380
12601,3,959692
12631,3,941619
12661,3,943396
12691,3,970873
12721,3,934579
12751,3,765696
12781,3,963391
12811,3,954198
12841,3,920810
12871,3,925925
12901,3,932835
12931,3,931098
12961,3,956022
12991,3,957854
13021,3,948766
13051,3,946969
13081,3,927643
13111,3,948766
13141,3,939849
13171,3,917431
13201,3,974658
13231,3,907441
13261,3,917431
13291,3,927643
13321,3,943396
13351,3,936329
13381,3,946969
13411,3,837520
13441,3,936329
13471,3,938086
13501,3,924214
13531,3,917431
13561,3,943396
13591,3,929368
13621,3,932835
13651,3,945179
13681,3,929368
13711,3,932835
13741,3,950570
13771,3,897666
13801,3,941619
13831,3,948766
13861,3,939849
13891,3,931098
13921,3,929368
13951,3,950570
13981,3,924214
14011,3,932835
14041,3,936329
14071,3,946969
14101,3,917431
14131,3,859106
14161,3,878734
14191,3,929368
14221,3,938086
14251,3,938086
14281,3,917431
14311,3,927643
14341,3,941619
14371,3,919117
14401,3,931098
14431,3,706214
14461,3,912408
14491,3,909090
14521,3,945179
14551,3,938086
14581,3,920810
14611,3,939849
14641,3,919117
14671,3,917431
14701,3,943396
14731,3,914076
14761,3,932835
14791,3,889679
14821,3,910746
14851,3,922509
14881,3,922509
14911,3,917431
14941,3,929368
14971,3,931098
31,5,379362
61,5,521920
91,5,615763
121,5,598802
151,5,663129
181,5,737463
211,5,761035
241,5,787401
271,5,787401
301,5,877192
331,5,915750
361,5,909090
391,5,939849
421,5,980392
451,5,992063
481,5,927643
511,5,950570
541,5,1039501
571,5,1030927
601,5,1004016
631,5,1054852
661,5,1072961
691,5,1063829
721,5,1128668
751,5,1096491
781,5,1094091
811,5,1063829
841,5,1146788
871,5,1089324
901,5,1141552
931,5,1128668
961,5,1121076
991,5,1173708
1021,5,1146788
1051,5,1141552
1081,5,1138952
1111,5,1098901
1141,5,910746
1171,5,1144164
1201,5,1207729
1231,5,1149425
1261,5,1157407
1291,5,1162790
1321,5,1162790
1351,5,1173708
1381,5,1170960
1411,5,1179245
1441,5,1207729
1471,5,1144164
1501,5,1026694
1531,5,1162790
1561,5,1162790
1591,5,1231527
1621,5,1173708
1651,5,1234567
1681,5,1199040
1711,5,1170960
1741,5,1219512
1771,5,1269035
1801,5,1196172
1831,5,1082251
1861,5,1187648
1891,5,1201923
1921,5,1219512
1951,5,1193317
1981,5,1253132
2011,5,1240694
2041,5,1246882
2071,5,1262626
2101,5,1210653
2131,5,1213592
2161,5,1168224
2191,5,1160092
2221,5,1222493
2251,5,1231527
2281,5,1199040
2311,5,1201923
2341,5,1246882
2371,5,1228501
2401,5,1234567
2431,5,1204819
2461,5,1250000
2491,5,1219512
2521,5,1111111
2551,5,1162790
2581,5,1216545
2611,5,1228501
2641,5,1234567
2671,5,1210653
2701,5,1207729
2731,5,1234567
2761,5,1201923
2791,5,1240694
2821,5,1250000
2851,5,1141552
2881,5,1176470
2911,5,1190476
2941,5,1173708
2971,5,1228501
3001,5,1201923
3031,5,1240694
3061,5,1231527
3091,5,1240694
3121,5,1199040
3151,5,1237623
3181,5,1219512
3211,5,1149425
3241,5,1193317
3271,5,1210653
3301,5,1298701
3331,5,1225490
3361,5,1282051
3391,5,1285347
3421,5,1231527
3451,5,1231527
3481,5,1340482
3511,5,1262626
3541,5,1033057
3571,5,1308900
3601,5,1265822
3631,5,1305483
3661,5,1329787
3691,5,1265822
3721,5,1302083
3751,5,1319261
3781,5,1285347
3811,5,1336898
3841,5,1322751
3871,5,1022494
3901,5,1312335
3931,5,1302083
3961,5,1305483
3991,5,1333333
4021,5,1326259
4051,5,1315789
4081,5,1362397
4111,5,1355013
4141,5,1312335
4171,5,1336898
4201,5,1385041
4231,5,1250000
4261,5,1312335
4291,5,1366120
4321,5,1351351
4351,5,1269035
4381,5,1351351
4411,5,1385041
4441,5,1373626
4471,5,1392757
